country,funding_body,"url_source	API",date,collected_by,file_path,description
UK,"UKRI	",https://gtr.ukri.org/search/project?term=*,27/06/2022,Flavia,UK/UKRI/UKRI_raw_metadata.csv,"csv file directly downloaded from url with info on research concil, project ID(used to collect data with the API), title, university, value in pounds, etc. "
USA,USDA,https://portal.nifa.usda.gov/lmd4/recent_awards/get_data.csv?sortColumn=1&searchString=&columns=1%2C2%2C3%2C4%2C5%2C6%2C7%2C8%2C9&columnFilters=%7B%22Public+Flag%22%3A%22true%22%7D&filters=&row_filter=&column_filter=&measure_name=,12/07/2022,Michael,USA/USDA/awards_recent-awards-listing.csv,"csv file directly downloaded from url with info on research institution, project ID(used to collect data with the API), title, university, value in dollars, etc. "
USA,NOAA,https://www.noaa.gov/office-education/elp/grants/awards/elp.csv?search_api_views_fulltext=&page&_format=csv,12/07/2022,Michael,USA/NOAA/elp.csv,"csv file directly downloaded from url with info on research institution, project ID(used to collect data with the API), title, university, value in dollars, etc. "
USA,DOE,https://www.osti.gov/MARC/DownloadAllScitechServlet,12/07/2022,Michael,USA/DOE/all_scitech_fulltext.zip,mrc files dwonloaded directly from website
Europe,erc,https://erc.europa.eu/projects-figures/project-database,05/07/2022,richard,Europe/erc.tsv,"Direct download, info on project title and abstract, PI, grant type and topic, project budget and host institutions etc."
Europe,ec/fp1,https://data.europa.eu/data/datasets/fp1-cordis?locale=en,05/07/2022,richard,Europe/cordis-fp1-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp2,https://data.europa.eu/data/datasets/cordis-fp2?locale=en,05/07/2022,richard,Europe/cordis-fp2-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp3,https://data.europa.eu/data/datasets/cordis-fp3?locale=en,05/07/2022,richard,Europe/cordis-fp3-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp4,https://data.europa.eu/data/datasets/cordisfp4projects?locale=en,05/07/2022,richard,Europe/cordis-fp4-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp5,https://data.europa.eu/data/datasets/cordisfp5projects?locale=en,05/07/2022,richard,Europe/cordis-fp5-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp6,https://data.europa.eu/data/datasets/cordisfp6projects?locale=en,05/07/2022,richard,Europe/cordis-fp6-project.csv,"Direct download, project id, title, start and end date, cost, objective etc"
Europe,ec/fp7,https://data.europa.eu/data/datasets/cordisfp7projects?locale=en,05/07/2022,richard,Europe/cordis-fp7-project.csv,"Direct download, project id, title, start and end date, cost, objective etc, ERC is in fundingScheme for some projects, partner organisation identities are in associated organization file"
Europe,ec/fp7,https://data.europa.eu/data/datasets/cordisfp7projects?locale=en,05/07/2022,richard,Europe/cordis-fp7-organization.csv,"Direct download, project id, organisation details and role, tab separated"
Europe,ec/horizon2020,https://data.europa.eu/data/datasets/cordish2020projects?locale=en,05/07/2022,richard,Europe/cordis-H2020-project.csv,"Direct download, project id, title, start and end date, cost, objective etc, ERC is in fundingScheme for some projects, partner organisation identities are in associated organization file"
Europe,ec/horizon2020,https://data.europa.eu/data/datasets/cordish2020projects?locale=en,05/07/2022,richard,Europe/cordis-H2020-organization.csv,"Direct download, project id, organisation details and role, tab separated"
Europe,ec/horizonEurope,https://webgate.ec.europa.eu/dashboard/sense/app/98dcd94d-ca66-4ce0-865b-48ffe7f19f35/sheet/QCdc/state/analysis,07/07/2022,richard,Europe/horizon-europe.tsv,"Direct download, row per organsiation:project, info on proect title, start, end, grant programe etc, some ERC funded projects present, extracted from xlsx file"
Australia,arc,https://dataportal.arc.gov.au/NCGP/API/grants,05/07/2022,richard,Australia/arc.csv,"API-based access, info includes funding year, scheme, submission year, administrative organisation, grant summary (abstract), funding amount etc"
Australia,dese,https://dataportal.arc.gov.au/RGS/API/Grants,05/07/2022,richard,Australia/dese.csv,"API-based access, grants managed by ARC's research management system, info includes funding year, scheme, submission year, grant title and grant summary (abstract), funding amount etc"
Australia,dod,https://dataportal.arc.gov.au/RGS/API/Grants,05/07/2022,richard,Australia/dod.csv,"API-based access, grants managed by ARC's research management system, info includes funding year, scheme, submission year, grant title and grant summary (abstract), funding amount etc"
Australia,nisdrg,https://dataportal.arc.gov.au/RGS/API/Grants,05/07/2022,richard,Australia/nisdrg.csv,"API-based access, grants managed by ARC's research management system, info includes funding year, scheme, submission year, grant title and grant summary (abstract), funding amount etc"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2013.tsv,"Direct download, file per year, info on title, funding type, final budget, research areas, administrative institution, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2014.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2015.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2016.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2017.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2018.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2019.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
Australia,nhmrc,https://www.nhmrc.gov.au/funding/data-research/outcomes,05/07/2022,richard,Australia/nhmrc-2020.tsv,"Direct download, file per year, info on award, grant type, title, institution, total funding, research areas and descritption of project, extracted from xlsx file"
